id,title,price,location,post_time_str,scraped_at,link,image_url
1413686136644219,"iphone 13 pro max unlocked 256GB M1K3 in Boca Raton, FL",$99,,22 hours ago,2025-06-19T09:14:27.918683,https://web.facebook.com/marketplace/item/1413686136644219/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/506922435_747577104608845_4724750150922903544_n.jpg?stp=dst-jpg_p720x720_tt6&_nc_cat=104&ccb=1-7&_nc_sid=247b10&_nc_ohc=HFGdchH7YcUQ7kNvwFYOtWL&_nc_oc=AdkOT5wlM6MwA5M0Yh9uM_klZTIThaJZ32UrUCQOieyQatmAeP_QD73xoc7_Cv71zls&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=Z_sxMJiheFa_UQPCcTedFg&oh=00_AfNxOJAn3D33Z5YZstoTNofIW1Z-SmkU_sM_XrLTMRXQcQ&oe=6859A46C']
749161847679457,"iPhone 13 Pro Max 128g UNLOCKED R3OA in Plantation, FL",$101,,a day ago,2025-06-19T09:14:35.556962,https://web.facebook.com/marketplace/item/749161847679457/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-2.fna.fbcdn.net/v/t45.5328-4/508458219_702359572719258_5095173812901092519_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=109&ccb=1-7&_nc_sid=247b10&_nc_ohc=QDoGXpLA5BEQ7kNvwE-eqem&_nc_oc=AdlLOwBmOEpM7CvuxJg8GpNOjwc8Xz0mphPr7t7WN1ofmkfOAntG5cJVnfLAbudUDN8&_nc_zt=23&_nc_ht=scontent.fabv2-2.fna&_nc_gid=uKV8WIgWfE36yrsq3-UJcw&oh=00_AfMAXA8RwXkYd_57sKyx8MG5-cgQX9UAPU3MkD5MpX6Obw&oe=6859B0D4']
1405480837366480,"Apple iPhone 13 Mini 128 GB in Pink Carrier Unlocked QU8T in Delray Beach, FL",$102,,a day ago,2025-06-19T09:14:42.680389,https://web.facebook.com/marketplace/item/1405480837366480/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/508453772_1055223946572978_4526942621354975510_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=107&ccb=1-7&_nc_sid=247b10&_nc_ohc=E7ulIn0IRwkQ7kNvwFJQYAs&_nc_oc=Adldip8AgCUAMM2VfPiJTd-V6OtJqATqyjRlc6T5cnTvfLKj-2019p_3AU1JlF-x1dg&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=5DOqWJbBXdaaQqN7JNsWog&oh=00_AfMCVtXb9U2p_tyd_u4ETvh-vsSllNr3rJnGc9W0jGsMUw&oe=6859B41C']
707460652150124,"Apple iPhone 13 Pro Max 256 GB Unlocked CAX9 in Lauderdale Lakes, FL",$99,,a day ago,2025-06-19T09:15:03.956004,https://web.facebook.com/marketplace/item/707460652150124/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-2.fna.fbcdn.net/v/t45.5328-4/508773894_1481230616366726_852166358634207995_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=109&ccb=1-7&_nc_sid=247b10&_nc_ohc=c08chbkQyeUQ7kNvwE9qVwO&_nc_oc=AdkTo3nwltIEjAxBaP8FSNEeNi_6wtNi7FOYpsGw_3FMrQUtDaUNA8INtxUqTyZJyo4&_nc_zt=23&_nc_ht=scontent.fabv2-2.fna&_nc_gid=tMwFksjEM3D6QJ3HnGpccg&oh=00_AfP0PTc51VtgF432c4n8CCv5Mqgg3vCU1NowPY-xaJff2w&oe=6859B5A6']
604781375463573,"iPhone 13 Pro Max 256gb Sierra Blue Carrier Unlocked ZDV7 in Homestead, FL",$98,,a day ago,2025-06-19T09:15:11.357606,https://web.facebook.com/marketplace/item/604781375463573/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/508473216_637415449351413_131217044279583986_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=104&ccb=1-7&_nc_sid=247b10&_nc_ohc=eV6yJ5ZQhrsQ7kNvwEEhNRx&_nc_oc=AdkV0j92dMGut9BP1y4G2DuyhY2aj5QGLNpmXvdOOnckFrpQoEeOoEgjuJ8v_4LiPo4&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=bo7Z34exFH7AyS9QefIMVQ&oh=00_AfNZWuZ7Abw2oue7l_tAxP5nFqiy9Bdm_x0ZRpN6uHhk3w&oe=68599C15']
620798940349025,"iPhone 13 CUL7 in Pembroke Pines, FL",$102,,a day ago,2025-06-19T09:15:18.892088,https://web.facebook.com/marketplace/item/620798940349025/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/508195565_736519825568958_2421198450277360219_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=104&ccb=1-7&_nc_sid=247b10&_nc_ohc=YS1jJYDhW0YQ7kNvwGeisPf&_nc_oc=AdnVa4O-6w_omxiWni9Qnf3WlPb39CaSVpS0YqMMDZ8TnZG6vsb21_Y7CelFb7VmIgI&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=kk1Okzn_x9cEqDetpghs9A&oh=00_AfNxIki3sbEB4ZlNoTeAWXwCkv6FoJlhps_r3gkjUBeUPw&oe=685997BB']
1650933265567577,"Apple iPhone 13 128GB (Unlocked) in Pompano Beach, FL",$260,,a day ago,2025-06-19T09:15:28.412738,https://web.facebook.com/marketplace/item/1650933265567577/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-2.fna.fbcdn.net/v/t45.5328-4/508720090_1752123462345444_4976396465999286528_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=103&ccb=1-7&_nc_sid=247b10&_nc_ohc=zMJ4UXULPtgQ7kNvwHlTNKB&_nc_oc=AdmaRj55WQc4fCvFLNX8SbZurEpHRHxKNa_UiIZdl_E42CBpEkNefUC_gcl1XGvKJtY&_nc_zt=23&_nc_ht=scontent.fabv2-2.fna&_nc_gid=YnPRIMDvDDPXHPeRdHxnrg&oh=00_AfNBnpMsD0Xk1i_NWwuT1CNTQGmSPWBARf7pkH_jRzx26g&oe=6859A760']
780559791166537,"Iphone13 in Miami, FL",$200,,a day ago,2025-06-19T09:15:36.622544,https://web.facebook.com/marketplace/item/780559791166537/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/491880461_850462663953294_5866432390396791588_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=101&ccb=1-7&_nc_sid=247b10&_nc_ohc=b6JI9zzS0VgQ7kNvwG63dE-&_nc_oc=AdmIKrcuE41ELtX6nBjpnUcQJ5mQGXl2bzIVmtRKYJXc-wOpIkdcnkS-Wl4fIdAnEJ8&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=y0U-XkWL9LPFXc_rL2tjGA&oh=00_AfOOtU8F2Fg0KNlSgMMbe7JLPehUfjUSu8DqaybThN6diQ&oe=6859B230']
1699773164233366,"iPhone 13 in Miami, FL",$380,,a day ago,2025-06-19T09:15:44.306815,https://web.facebook.com/marketplace/item/1699773164233366/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/508462945_1194518139138074_1522318214758770215_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_ohc=1AUBUOEQGHoQ7kNvwFPcCym&_nc_oc=AdnT9Yz6qdax3x34OsiCwKhrGjQTTDUsJJx_kCbRCxoyGLu4-oR-KtXvdGOfWmnRk7M&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=1y0mEdkGUWqOiBsO9Cs0NA&oh=00_AfMTPT_5ivPVzZNUInHHs5nB4wfNUVjXcPk2Ih7ymy2HVg&oe=68597DB9']
1184754073400382,"Unlocked iPhone 13 Pro Max 1 TB 100% battery grey in Sunrise, FL",$550,,a day ago,2025-06-19T09:15:51.672740,https://web.facebook.com/marketplace/item/1184754073400382/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,['https://scontent.fabv2-1.fna.fbcdn.net/v/t45.5328-4/507205664_1276037223948275_2198409558060569467_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=107&ccb=1-7&_nc_sid=247b10&_nc_ohc=lqz-S78hTFQQ7kNvwEZGy6x&_nc_oc=Adl5mN1CvQvSSG_AZehx3ss0cltulEECYHjqG3iW2rbb_vxUdzQH26rn2Ds-504Hozo&_nc_zt=23&_nc_ht=scontent.fabv2-1.fna&_nc_gid=qRPpebBsW32AzPkRLjpN8w&oh=00_AfNC1neYZnBC2CpxqP1sAzNuI0QMDpTWq1j4itY_C-n06g&oe=685998A6']
